"filename", "language", "C#", "XML", "JSON", "Properties", "comment", "blank", "total"
"d:\Training Files\School\Controllers\ClassController.cs", "C#", 37, 0, 0, 0, 1, 13, 51
"d:\Training Files\School\Controllers\StudentController.cs", "C#", 79, 0, 0, 0, 6, 32, 117
"d:\Training Files\School\Controllers\SubjectController.cs", "C#", 37, 0, 0, 0, 1, 11, 49
"d:\Training Files\School\Controllers\TeacherController.cs", "C#", 80, 0, 0, 0, 4, 26, 110
"d:\Training Files\School\DTOs\ClassDTO.cs", "C#", 13, 0, 0, 0, 0, 10, 23
"d:\Training Files\School\DTOs\StudentDTO.cs", "C#", 63, 0, 0, 0, 1, 23, 87
"d:\Training Files\School\DTOs\SubjectDTO.cs", "C#", 15, 0, 0, 0, 0, 3, 18
"d:\Training Files\School\DTOs\TeacherDTO.cs", "C#", 65, 0, 0, 0, 1, 23, 89
"d:\Training Files\School\Models\Classes.cs", "C#", 16, 0, 0, 0, 0, 8, 24
"d:\Training Files\School\Models\Student.cs", "C#", 22, 0, 0, 0, 0, 3, 25
"d:\Training Files\School\Models\Subject.cs", "C#", 16, 0, 0, 0, 0, 6, 22
"d:\Training Files\School\Models\Teacher.cs", "C#", 22, 0, 0, 0, 0, 2, 24
"d:\Training Files\School\Program.cs", "C#", 18, 0, 0, 0, 3, 12, 33
"d:\Training Files\School\Properties\launchSettings.json", "JSON", 0, 0, 31, 0, 0, 1, 32
"d:\Training Files\School\Repositories\BaseRepository.cs", "C#", 15, 0, 0, 0, 1, 4, 20
"d:\Training Files\School\Repositories\ClassRepository.cs", "C#", 30, 0, 0, 0, 2, 8, 40
"d:\Training Files\School\Repositories\StudentRepository.cs", "C#", 72, 0, 0, 0, 3, 14, 89
"d:\Training Files\School\Repositories\SubjectRepository.cs", "C#", 30, 0, 0, 0, 2, 8, 40
"d:\Training Files\School\Repositories\TeacherRepository.cs", "C#", 72, 0, 0, 0, 3, 17, 92
"d:\Training Files\School\School.csproj", "XML", 0, 12, 0, 0, 0, 4, 16
"d:\Training Files\School\Settings\PostgresSettings.cs", "C#", 10, 0, 0, 0, 0, 1, 11
"d:\Training Files\School\Utilities\TableNames.cs", "C#", 10, 0, 0, 0, 0, 1, 11
"d:\Training Files\School\appsettings.Development.json", "JSON", 0, 0, 8, 0, 0, 1, 9
"d:\Training Files\School\appsettings.json", "JSON", 0, 0, 16, 0, 0, 1, 17
"d:\Training Files\School\bin\Debug\net6.0\School.deps.json", "JSON", 0, 0, 158, 0, 0, 0, 158
"d:\Training Files\School\bin\Debug\net6.0\School.runtimeconfig.json", "JSON", 0, 0, 19, 0, 0, 0, 19
"d:\Training Files\School\bin\Debug\net6.0\appsettings.Development.json", "JSON", 0, 0, 8, 0, 0, 1, 9
"d:\Training Files\School\bin\Debug\net6.0\appsettings.json", "JSON", 0, 0, 16, 0, 0, 1, 17
"d:\Training Files\School\obj\Debug\net6.0\.NETCoreApp,Version=v6.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"d:\Training Files\School\obj\Debug\net6.0\School.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"d:\Training Files\School\obj\Debug\net6.0\School.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 16, 0, 1, 17
"d:\Training Files\School\obj\Debug\net6.0\School.GlobalUsings.g.cs", "C#", 16, 0, 0, 0, 1, 1, 18
"d:\Training Files\School\obj\Debug\net6.0\School.MvcApplicationPartsAssemblyInfo.cs", "C#", 3, 0, 0, 0, 9, 5, 17
"d:\Training Files\School\obj\Debug\net6.0\project.razor.json", "JSON", 0, 0, 16301, 0, 0, 0, 16301
"d:\Training Files\School\obj\Debug\net6.0\staticwebassets.build.json", "JSON", 0, 0, 11, 0, 0, 0, 11
"d:\Training Files\School\obj\School.csproj.nuget.dgspec.json", "JSON", 0, 0, 77, 0, 0, 0, 77
"d:\Training Files\School\obj\School.csproj.nuget.g.props", "XML", 0, 22, 0, 0, 0, 0, 22
"d:\Training Files\School\obj\School.csproj.nuget.g.targets", "XML", 0, 6, 0, 0, 0, 0, 6
"d:\Training Files\School\obj\project.assets.json", "JSON", 0, 0, 383, 0, 0, 0, 383
"Total", "-", 753, 40, 17028, 16, 49, 247, 18133
